ztfname,gal_type,SN_component,sn_bulge_prob,sn_bar_prob,SB_local_c,SB_local_g,SB_local_r,SB_local_g_err,SB_local_r_err,R25_g,R25_r,R25_err,gal_Re,gal_ecc,gal_pa
ZTF18abuatfp,disk,disk,0.0,0.0,0.3673716442074912,21.92591749810569,21.5585458538982,0.0167343855839051,0.0157322758236258,14.802607255941425,15.95312896161293,0.0563762775003335,5.706831117484231,0.1659185964895263,2.535923140710368
ZTF18abupgps,bulge,elliptical,0.0,0.0,0.6175037798224814,20.48872657633465,19.871222796512168,0.0254515257665417,0.0252343284493731,13.153236340307204,15.693716011077056,0.0539829362671988,4.489151531012889,0.0866084957062973,2.965183616833812
ZTF18abupgql,bulge+bar+disk,bulge,0.0220072698013825,0.3422967636207176,0.6419862940433241,22.928130485092897,22.286144191049573,0.2959388908625143,0.2977636509096256,24.430672955044777,29.16953369573592,0.1448346768808383,14.21620679267002,0.1188152813169565,0.4539286063407415
ZTF18abuqugw,disk,disk,0.0,0.0,0.5377503152781848,21.912157330831405,21.37440701555322,0.0191211866855632,0.016764289719392,9.978533030397651,11.44335543060748,0.0308229108576665,4.963752686438173,0.5836141292157839,0.2604856702394326
ZTF18abuuqgn,disk,disk,0.0,0.0,0.46342996238198,24.187174156787968,23.723744194405988,0.0087038192572164,0.0083590225566308,12.572760382824068,14.202158118800396,0.0222367733608012,6.4069131322810895,0.2760691639250089,1.4932441054271963
ZTF18abuxjrd,bulge,elliptical,0.0,0.0,0.5436303570311836,18.71548028597357,18.171849928942382,0.0482605636653078,0.0472705778562075,19.057617312118584,22.615994246002312,0.0705868814134444,4.683575294435945,0.5334453571889478,0.9576839019307906
ZTF18abvbayb,bulge,elliptical,0.0,0.0,0.5957213743718377,24.80390284014878,24.208181465776946,0.0108817432720315,0.0108739872771096,14.32388977121406,16.1498804581135,0.0201909169293887,3.852813567475846,0.1855200733121271,1.4412294626227922
ZTF18abvejbm,bulge,elliptical,0.0,0.0,0.7145392646996562,21.49984861277416,20.785309348074502,0.1629264929749888,0.1632943213879504,43.8188705145806,56.42165088937911,0.7278668041173232,11.68665673712158,0.2684795852419627,2.070602426775668
ZTF18abvglon,disk,disk,0.0,0.0,0.4266088641712251,24.71395088385552,24.28734201968429,0.0149122782007124,0.0129098975344851,11.460762808427454,12.87340429648816,0.0402158406293667,6.034036293854928,0.2238623255294246,2.9591951033438013
ZTF18abvrzqj,disk,disk,0.0,0.0,0.3106954260080492,23.6799975009045,23.36930207489645,0.0156326204654488,0.015459123773746,7.65574630059245,8.184522535568957,0.0237727969535294,3.101293755532884,0.5887747188301169,0.5301252762295282
ZTF18abwckzf,disk,disk,0.0,0.0,0.4234812599427116,21.50105941817241,21.0775781582297,0.0127462335515481,0.0123555055802326,7.87589991701381,8.417802338539149,0.0125700736912076,2.331807696078427,0.5688851419893965,0.5626309375311577
ZTF18abwmuua,bulge,elliptical,0.0,0.0,0.5555321802034179,18.694189319318163,18.138657139114745,0.0425847039780983,0.0423721425722308,24.390397250147696,29.460935423172284,0.0673416329532504,4.706519931889681,0.4639940242316384,2.464446679449342
ZTF18abwwfyo,disk,disk,0.0,0.0,0.3263625309328049,23.328333671209894,23.00197114027709,0.017829275870058,0.0176388813266452,12.245564926985258,13.396718396421186,0.0683167233807464,6.427450941570728,0.5462443959082364,0.8240392087390253
ZTF18abxbugc,bulge,elliptical,0.0,0.0,0.6466580060061595,21.77803736450307,21.13137935849691,0.0116994967591998,0.011674196736082,10.154896345658452,11.753810908118464,0.016968588028388,4.084710203756808,0.4501831165247665,0.0489642885735293
ZTF18abxroxl,bulge,elliptical,0.0,0.0,0.718978662214731,21.773215943523304,21.054237281308573,0.0142865658622343,0.0144738500123484,15.253868319615398,19.58093641857061,0.0242434089277631,4.05512749297287,0.2092244609389733,1.5335306252561038
ZTF18abxyudf,bulge,elliptical,0.0,0.0,0.6483227034966603,23.50156075801428,22.853238054517615,0.1397487975772515,0.1400854174745367,25.94940665579057,33.758087584256835,0.7376435365084889,12.339124239226834,0.2553373182865478,2.295872735031682
ZTF18abzpbpi,disk,disk,0.0,0.0,0.5248807669278079,21.612467637711177,21.08758687078337,0.0196434774584234,0.0178466569158731,22.717352990795757,25.44449359057732,0.0602679599730051,9.467879147682032,0.2395722593502772,1.869502637012113
ZTF18acafztq,disk,disk,0.0,0.0,0.3570314028777339,19.523682633813483,19.16665123093575,0.0091447950505296,0.0083694985588478,15.32547478159026,16.29867219962169,0.0127505557413483,4.967070999265708,0.3917751145063984,2.176483539204279
ZTF18acavnyd,bulge+bar+disk,bulge,0.000176337011855,1.0000475847852377,0.5772535848517109,21.26949885513791,20.6922452702862,2.75554734109978,2.770499744752904,26.628575694063784,30.48411194970944,0.0897122642678608,11.477739872970773,0.1171719987103484,1.213985651015462
